image:FILE,category
train/rose/28934528478_1666ffd634_c.jpg,4
train/rose/2480339720_a769f1609f_c.jpg,4
train/rose/27036969281_abea68f113_c.jpg,4
train/rose/13929445464_7423962d8d_c.jpg,4
train/rose/8706297454_421ac7f0bb_c.jpg,4
train/rose/18479023778_530a960af7_c.jpg,4
train/rose/21608681888_0aaf50f419_c.jpg,4
train/rose/9553145859_e84e6d540f_c.jpg,4
train/rose/1364155786_a0eec497a1_c.jpg,4
train/rose/23604296880_c02ab72692_c.jpg,4
train/rose/27699273346_5f90d91e79_c.jpg,4
train/rose/165221695_09b9641c18_c.jpg,4
train/rose/10063573746_dae22f863b_c.jpg,4
train/rose/4669659278_3dbce37d7f_c.jpg,4
train/rose/34976179810_9735b1a602_c.jpg,4
train/rose/4656742162_10771440c4_c.jpg,4
train/rose/2452729496_35f1f1ee4c_c.jpg,4
train/rose/15946936007_50fcbc4f00_c.jpg,4
train/rose/19488233335_c5924d2f37_c.jpg,4
train/rose/2277130885_3d7d4785f9_c.jpg,4
train/rose/9137749093_46a9ae656b_c.jpg,4
train/rose/15310321012_f3aaf52277_c.jpg,4
train/rose/4087769506_6252811962_c.jpg,4
train/rose/2898457461_ddaff4f28c_c.jpg,4
train/rose/28777523597_15f55b85cf_c.jpg,4
train/rose/2738662757_18aca3f6b2_c.jpg,4
train/rose/7600584732_1659ea93f0_c.jpg,4
train/rose/9716058738_cd2b8cc97a_c.jpg,4
train/rose/4343827801_115d520727_c.jpg,4
train/rose/3045761505_91352f7004_c.jpg,4
train/rose/2411509617_196f682dfe_c.jpg,4
train/rose/8678535665_59b009bab0_c.jpg,4
train/rose/6296317478_45284098ba_c.jpg,4
train/rose/5581931407_3d01ee03fb_c.jpg,4
train/rose/3262672802_7f20464271_c.jpg,4
train/rose/4011491214_9ed31e44da_c.jpg,4
train/rose/20404145199_71b7de8436_c.jpg,4
train/rose/4999491651_1e5d7befa0_c.jpg,4
train/rose/9174631512_3431be9fa6_c.jpg,4
train/rose/16324203584_b037fbcc72_c.jpg,4
train/rose/6734066321_6aa74994e3_c.jpg,4
train/rose/4767151099_d65873936b_c.jpg,4
train/rose/17940079_b29dc18a2f_c.jpg,4
train/rose/29489576531_fdd43727ed_c.jpg,4
train/rose/21175691410_306eb948cc_c.jpg,4
train/rose/23278059805_5fc2ddf144_c.jpg,4
train/rose/27458258277_4c809076e4_c.jpg,4
train/rose/4357550657_29ce48df12_c.jpg,4
train/rose/4656066041_1ba746499c_c.jpg,4
train/rose/8008000428_e6298e35b9_c.jpg,4
train/rose/36337030081_323e13c9b9_c.jpg,4
train/rose/16581536920_9978228bb9_c.jpg,4
train/rose/2999848462_56d3c08a46_c.jpg,4
train/rose/4311709566_3d0410b408_c.jpg,4
train/rose/34407923924_5a1b8ece2b_c.jpg,4
train/rose/2480340048_45fc7e70e8_c.jpg,4
train/rose/14218830472_3834726b63_c.jpg,4
train/rose/24573581100_bbbca17a00_c.jpg,4
train/rose/5462768163_021728e220_c.jpg,4
train/rose/2480343746_d94bf025a2_c.jpg,4
train/rose/6175134743_8175e630e1_c.jpg,4
train/rose/30603979943_856fd01d6a_c.jpg,4
train/rose/8197318779_81d825615d_c.jpg,4
train/rose/8198458828_db627ac431_c.jpg,4
train/rose/8731728850_e1837b1607_c.jpg,4
train/rose/2479528029_10ddbaf056_c.jpg,4
train/rose/8172218687_638c3dd4b2_c.jpg,4
train/rose/9574751666_00bd0cfe83_c.jpg,4
train/rose/26720380763_be6ef9c599_c.jpg,4
train/rose/35227777456_2c54d01dfe_c.jpg,4
train/rose/26797792131_1b8ba5e203_c.jpg,4
train/rose/8277714024_e840619542_c.jpg,4
train/rose/16036883317_39cd77fd1a_c.jpg,4
train/rose/7387440454_60d7450a64_c.jpg,4
train/rose/1364158896_b72bfeccfe_c.jpg,4
train/rose/37421104851_658939414d_c.jpg,4
train/rose/2480343554_9183905b47_c.jpg,4
train/rose/1364158308_21aebc5805_c.jpg,4
train/rose/13463664043_80a05a1d51_c.jpg,4
train/rose/9785439455_c87dfb4ab9_c.jpg,4
train/rose/34483309581_1ef34389c5_c.jpg,4
train/rose/9574751794_93bf8fa1e8_c.jpg,4
train/rose/9341357294_fab46067e0_c.jpg,4
train/rose/3280882473_c6153da40a_c.jpg,4
train/rose/6259203205_b375d36f28_c.jpg,4
train/rose/3495455675_29dacd8662_c.jpg,4
train/rose/8273429828_ca4e746534_c.jpg,4
train/rose/26471888213_2f8097ee23_c.jpg,4
train/rose/8020578309_322bf7bf75_c.jpg,4
train/rose/3622857482_8bb39d0a7f_c.jpg,4
train/rose/23994135190_66c703fd46_c.jpg,4
train/rose/4842151034_614f0a2f4b_c.jpg,4
train/rose/4742966455_9cf8038cef_c.jpg,4
train/rose/1352726882_383a582403_c.jpg,4
train/rose/15778401042_5fb1fe4db5_c.jpg,4
train/rose/30084475004_8e1e37d763_c.jpg,4
train/rose/7182960492_12f96c97d7_c.jpg,4
train/rose/9574751632_b2cdc0c7a4_c.jpg,4
train/rose/36323554642_27db659461_c.jpg,4
train/rose/29811348836_ab69262630_c.jpg,4
train/rose/2636834688_3b9cbeaff3_c.jpg,4
train/rose/9715969200_60fde2d97d_c.jpg,4
train/rose/7354869678_68bc7ef089_c.jpg,4
train/rose/2895144967_a1e92b5810_c.jpg,4
train/rose/6186772097_a958295d9d_c.jpg,4
train/rose/14868991779_87e3eb76a2_c.jpg,4
train/rose/1161454912_5c51bd8ff9_c.jpg,4
train/rose/18216254829_a40fedb67c_c.jpg,4
train/rose/515173738_9007f92a0f_c.jpg,4
train/rose/27033836012_4d8808c231_c.jpg,4
train/rose/27236249566_92118a4eb8_c.jpg,4
train/rose/4729161029_f8ef219e92_c.jpg,4
train/rose/10065206693_14c212b535_c.jpg,4
train/rose/2580948483_5cd06d64cc_c.jpg,4
train/rose/8903360566_722b9d1fd6_c.jpg,4
train/rose/12406546493_2a8d039b93_c.jpg,4
train/rose/2480336812_58ec6089ea_c.jpg,4
train/rose/2890098318_0363387479_c.jpg,4
train/rose/4965748511_87aee9fac3_c.jpg,4
train/rose/14213382047_00b704fc55_c.jpg,4
train/rose/4008612916_480e352f58_c.jpg,4
train/rose/22781303545_e35882daf5_c.jpg,4
train/rose/15205581549_8dd22e31d9_c.jpg,4
train/rose/40805497680_a8a13279fc_c.jpg,4
train/rose/14451413886_17d8971f0f_c.jpg,4
train/rose/6982757305_fb873b10ab_c.jpg,4
train/rose/6929756935_329e2a7929_c.jpg,4
train/rose/30870215436_924ec54a9d_c.jpg,4
train/rose/1692696743_37dc2eb1ff_c.jpg,4
train/rose/4573556983_3dee824738_c.jpg,4
train/rose/26418039544_bc087af79e_c.jpg,4
train/rose/19578459688_9711391b10_c.jpg,4
train/rose/4779200844_410a92c636_c.jpg,4
train/rose/12647401333_1d28cf2e00_c.jpg,4
train/rose/6282751636_2931e61ed0_c.jpg,4
train/rose/2565359593_3a29764961_c.jpg,4
train/rose/8475346003_2e7e8550d8_c.jpg,4
train/rose/2480339354_a3869fa865_c.jpg,4
train/rose/5984683059_d38fb078a9_c.jpg,4
